DIA	MES	ANIO	T_MED_A	T_MAX_A	T_MIN_A	HR_MED	PRECIP	TANQUEA	VIENTO	HELIOF	PENMAN

1	1	2000	24.3	30.6	15.5	47.0	0.0	12.8	182.7	13.2	7.4

2	1	2000	22.8	28.7	15.2	58.0	0.0	9.6	206.9	13.3	7.0

3	1	2000	22.8	31.5	14.7	65.0	0.0	13.4	219.8	13.2	6.8

4	1	2000	24.1	30.2	18.1	66.0	0.0	10.9	202.8	12.0	6.6

5	1	2000	26.0	32.7	17.8	55.0	0.0	13.4	124.9	12.6	6.9

6	1	2000	25.3	31.9	18.5	64.0	0.0	12.3	174.4	13.2	7.0

7	1	2000	25.8	31.9	18.1	62.0	0.0	12.1	203.8	12.3	7.2

8	1	2000	23.7	26.0	20.9	68.0	0.0	7.7	192.5	4.7	4.8

9	1	2000	24.2	27.0	20.6	72.0	0.0	11.7	186.7	10.9	6.0

10	1	2000	22.6	25.5	19.4	84.0	24.0	2.7	92.9	0.6	2.6

11	1	2000	24.3	30.8	17.0	72.0	10.0	8.9	112.9	12.5	6.0

12	1	2000	27.0	33.8	20.0	60.0	0.0	13.4	246.7	13.0	7.9

13	1	2000	24.7	29.8	20.8	78.0	0.0	9.3	202.7	12.2	6.3

14	1	2000	24.6	28.5	20.4	77.0	0.0	9.1	225.7	8.0	5.3

15	1	2000	24.6	28.2	20.0	73.0	0.0	10.7	282.2	11.6	6.7

16	1	2000	25.1	32.9	21.4	81.0	0.0	4.7	256.1	5.1	4.6

17	1	2000	22.7	25.7	18.0	71.0	1.3	9.0	193.5	10.6	5.7

18	1	2000	22.6	31.0	15.4	56.0	0.0	10.4	159.1	12.6	6.4

19	1	2000	25.7	33.9	16.7	52.0	0.0	12.6	182.1	13.0	7.3

20	1	2000	29.6	37.7	20.4	39.0	0.0	14.6	205.6	12.9	8.6

21	1	2000	25.5	31.3	19.2	64.0	0.0	7.7	261.1	4.7	5.6

22	1	2000	22.1	24.4	18.8	62.0	0.1	9.9	279.0	12.1	6.8

