PNPRE,SHSA,WCMAX,DPMRC,WLV,WLL,HUMR,DPMR,HUMI,WULI,LNCMIN,WRB,FOAC,CREMRI,WINPUT,WRT,NINPN,TTCAN,LNCI,NPL,CO2A,RMRE,DCST,DCSR,DCSS,IR3A,LAT,NSWI,TLAI,WUL,TSN,CRTI,IR2T,CRTD,DECRPM,DECRPN,TSW,RFIR,NLVI,HTMX,HUM,RPMR,NLVD,RPMI,LITN,FMIN,FNN6T,DAPAR,LITC,IFSH,EAJMAX,IR5A,STTIME,NCHK,DRPM,COEFT,BLD,IR5T,COEFR,k,DCDT,DCDS,FNA4T,FNN8,IR2A,FNN2,FNN3,FNN1,FNN6,FNN7,FNN4,FNN5,FT,MINNUL,STEMNC,DOY,CTOT,FM,MDN,RRMUL,FCLV,DDTR,TPCAN,RNRT,RWRT,RHUM,FCRVR,FCRVS,DFS,NRES,WCLL,INSP,SEEDNC,NINPA,SC,TMIN,RNNLL,CSST,FNA7T,PSEN,KCRN,TOC,DPN,DPM,DAVTMP,LVDS,FNN2T,ONC,LS,NNLLI,RAIN,WCI,CFO,SLNT,NITRUL,BHC,DENIUL,PPCAN,SLNB,CFV,FVPD,PNC,RESCO2,EPSP,RSS,APCANN,CLVI,SHSAN,CLVD,APCANS,CCFIX,RMUL,RMUN,NNLL,RMUA,RX,RD,RG,RA,RM,RN,RMUS,LNLV,RTNLV,NMINER,TNLV,LAI,MDNUL,RHT,LEGUME,RPNI,FMLL,MTDR,MTDV,TMMX,IR4A,ASSA,RDMX,TMMN,PESOIL,MINAUL,IR4T,NNUL,NLV,IR3T,NRTD,FNA3T,RMLD,NRTI,FLWCS,FLWCT,WSH,CSO,CSH,EG,DLAI,LWIDTH,SEEDW,MDNLL,FFAT,DAYL,RBIO,DPMR0,TIME,TBD,FCSO,BIOI,IR1T,RDPN,TNUPT,RDPM,NBK,TAVSS,DDLP,RCLV,FCSH,RDCDTP,RDCDTR,RMN,ESDI,LNC,LAYNA,MINALL,AESOIL,LAYNN,HNCCR,NDEM,CLV,FNA1T,KN,KL,KR,KW,FNN7T,RNDEMP,NCR,RPMRC,CCHK,RNCMIN,DS,BIO,RNALL,RPM,RPN,RESTOT,SLP,NTOT,LEAUL,SLN,SLA,RNST,RNREOE,RNREOF,RCSO,RPMR0,RNSO,NRT,SINLD,NSUPNS,FCSST,WN,RNRES,RSFNA,RWUG,RWUL,FNN8T,FPRO,FCAR,IR7A,NAI,WLLI,FNA6T,IR7T,SLNBC,SLNBI,FNN3T
0.7,0,0.35,10,2.2543,31.12,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,2.2543,0.65,0,0.0055,60,350,0,0,0,0,0,51.58,-1,0.07507,25.68,0,1.06628,15,0,0,0.05783,0,0,0.0124,0.7054,3284.20996,0.3,0,3693,0.00501,0.03,55,442992.7813,0.47367,0,48041.87891,0,110,0,1.44,5,50,45,1,0,0,0,35,0,0,0,0,0,0,0,0,0,1.90659,0,0.015,110,2.13256,1,0.05783,0,0,19786000,0,0,0,0,1,1,1,0,0.25,-2,0.04625,0,1360.23083,8.6,0,0,65,0,0.03994,7193,0,0,18.398,0,15,0,0,2.41172,0,0.25,0.47277,0.16828,0,3500,0,0.00001,0.16517,0.473,0.11621,0.00437,0,0.7,100,0.00001,1.06628,0,0,0.00001,6,0,0,2.41172,0,0,5,1.41162,1,0,1,0,0.03753,0,0,0.0124,0.03,0.01605,0,1,36.93,1,23.0889,34.7627,17.4,0,0.00001,100,3.6,3.31696,0,35,0.58828,0.0124,25,0,25,0,0.00729,0,0,2.2543,0,8.82,0.35,0,0.025,0.2148,0.04178,0.02,13.87255,0,10,110,0,0,215.78999,5,0.00392,0,0.27954,0.02834,14.88311,14.32657,0,1,0,0,0,1.35,0.0055,0.06662,0,3.31696,0.06662,0.0055,0,1.06628,5,-1.57834,0.77719,0.02996,0.77719,65,0,0,0.3,0,0.005,0,215.78999,0,3693,36.93,1.41162,-1,0.01969,0,0.16517,0.01122,0,0,0,0,0.3,0,0.00729,0.14808,0,0,3.1,-0.04254,0,0,8.11132,75,0.28906,0.56094,0,2,290,55,65,0.16208,0.16517,25
0.7,0,0.35,10,2.2543,32.14,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,2.2543,0.65,0.00062,0.0055,60,350,0,0,0,0,0,51.58,-1,0.15172,25.68,0,1.06628,15,0.47367,5.78292,0.03914,0,0,0.0124,0.7054,3284.20996,0.3,0.03753,3693,0.0061,0.03,55,448815.2188,0.44335,0,48041.87891,0,110,4.25409,1.44,5,50,45,1,0,0,0,35,0,0,0,0,0,0,0,0,0,1.29004,0,0.015,111,2.13256,1,-0.01237,0,0,19786000,0.01428,-0.00501,0,0,1,1,2,0,0.25568,-2,0.04625,0,1359.46411,8.2,-0.06662,0,65,0,0.03994,7193,0.00392,0.27954,22.755,0.0575,15,0,0,2.41172,0,0.25,0.47277,0.48043,0.05698,3500,0.00063,0.00899,0.16208,0.473,0.11621,0.00437,5.35817,0.7,100,0.01495,1.06628,0,1.06628,0.01428,6,0,0,2.41172,0,0,9.00566,-0.40986,1,0,1,0,0.02489,0,6,0.0124,0.036571429,-0.00548,0,1,36.93,1,23.0889,34.7627,23.7,0,0.00001,100,3.2,3.61087,0.01605,35,0.58828,0.0124,25,0.00501,25,0,0.00729,0,0,2.2543,0,8.9103125,0.35,0.07507,0.025,0.2148,-0.00689,0.02,13.93564,0,10,111,0,0,215.78999,5,0.00478,0,0.26165,0.02834,17.63829,14.39129,-1.06628,1,0,0,0,1.35,0.0055,0.04394,0.04178,3.60536,0.04394,0.00545,0,1.06628,5,-1.57834,0.77719,0.02996,0.77719,65,0,0,0.3,92.48835,0.005,0.02082,215.78999,-0.06662,3693.19409,36.93109,-0.40986,-1,0.01969,0,0.49015,0.01122,0,-0.04254,-0.04254,0,0.3,0,0.00729,0.15278,0.52761,0,1.7,0.01358,0,0,5.38402,75,0.28906,0.56094,0,2,290,55,65,0.5,0.16517,25
0.7,595.89771,0.35,10,2.2543,31.8,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,2.2543,0.65,0.01565,0.0055,60,350,0,0,0,0,0,51.58,-1,-0.06688,25.68,-6.11735,1.06628,15,0.85952,3.91404,0.04336,0,0.4,0.0124,0.7054,3284.20996,0.3,0.06242,3693,0.00785,0.03,55,-1243028.5,0.48709,1,48041.87891,0,110,5.41003,1.44,5,50,45,1,-0.0124,0,0,35,0,0,0,0,0,0,0,0,0,1.43134,0,0.015,112,0.59262,1,0.0085,0,0,18749000,0.01429,-0.00228,-1.00142,0.48027,0,1,3,-0.04254,0.25568,-2,0.04625,0,1358.69971,10.5,0.1123,0,65,0,0.03994,7193,0.00869,0.54119,19.091,0.10965,15,0,0,2.41172,0.4,0.25,0.47277,0,0.05877,3500,0.00056,0.00001,0.5,0.473,0.11621,0.00051,3.63374,0.7,100,0.00001,1.06628,623.7843,1.77326,0.00001,6,0,0,2.3451,0,0,11.57469,0.01298,1,0,1,0,0.02568,0,6,0.0124,0.043142857,0.0045,0,1,36.93,1,23.0889,34.7627,17.6,0,0.01428,100,5.5,3.29152,-0.00548,35,0.6549,0,25,0.00909,25,0,0.00729,0,0,2.2543,0,9.000625,0.35,0.12079,0.025,0.2148,0.00401,0.02,13.99849,-0.04129,10,112,0,0,215.78999,5,0.00601,0,0.27324,0.0552,16.77978,14.45582,-0.70698,1,0,0,0,1.35,0,-0.00992,-0.00689,3.25285,-0.00992,0.00541,0,0,5,-4.09666,0.77102,0.02996,0.77102,65,0,0,0.3,89.7386,0.005,0.04077,215.78999,-0.1606,3693.37573,36.87459,0.01298,-1,0.00228,0,0,-0.08504,0,0.01358,0.01358,0,0.3,0,0.00228,0.15744,0.49299,0,1.9,-0.00071,0,0,-0.70399,75,0.28906,0.56094,0,2,290,55,65,0,0.16517,25
0.7,0,0.35,10,0.00001,31.8,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,1.25288,0.65,0.01674,0.0055,60,350,0,0.0039,0,0.0039,0,51.58,-1,-0.01551,25.68,-4.16514,1.06628,15,1.23696,4.33592,0.05006,0,0,0.0124,0.7054,3284.69019,0.3,0.0881,3693,0.00718,0.03,55,-1333503.25,0.34866,1,48041.87891,0,110,8.14863,1.44,5,50,45,1,0,0.00034,0,35,0,0,0,0,0,0,0,0,0,1.65465,0,0.015,113,-0.50021,1,0.01157,0.00008,1,20131000,0.0143,0,-0.81575,0.32623,0,-0.0001,4,-0.02896,0.25568,-2,0.04625,0,1357.93762,5.5,0.17212,0,65,0,0.03994,7193,0.0147,0.81443,17.428,0.142,15,0,0,2.41172,0,0.25,0.47277,0,0.05623,3500,0.0007,0.00001,0,0.473,0.11621,0,4.03446,0.7,100,0.00001,1.06628,0,2.50279,0.00001,6,0,0,2.4574,0,0,10.98932,-0.82529,1,0,1,0.00008,0,0,6,0.0124,0.049714286,0.0059,0,1,36.93,1,23.0889,34.7627,17.3,0,0.00001,100,0.5,3.07943,0.0045,35,0.7552,0,25,0.01308,25,0,0.00729,0,0.00034,0.00001,0,9.0909375,0.35,0.16443,0.025,0.2148,0.00566,0.02,14.06107,-0.02713,10,113,0,0,215.78999,5,0.00529,0,0.18697,-0.0271,14.44976,14.52014,-0.72954,1,0.00034,0.00034,0,1.35,0.01,-0.01741,0.00401,3.07943,-0.01958,0.00537,0,-0.70697,5,2.92452,0.78924,0.02996,0.78924,65,0,0,0.3,69.53687,0.005,0.05757,215.74872,-0.16039,3687.79248,36.83716,-0.82529,-1,0,0,0,-19171.5625,0,-0.00071,-0.00071,0,0.3,0,0,0.16205,0.432,0.0001,2.1,0.02749,0,0,-2.17851,75,0.28906,0.56094,0,2,290,55,65,0,0.16517,25
0.7,0,0.35,10,-1.49466,31.8,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,0.43713,0.65,0.03899,0.0055,60,350,0,0,0,0,0,51.58,-1,0.00978,25.68,-4.26655,1.06628,15,1.44363,5.00681,0.05417,0,0.2,0.0124,0.7054,3285.0166,0.3,0.0881,3693,0.00404,0.03,55,-1176775,0.11485,0.00808,48041.87891,0,110,8.36709,1.44,5,50,45,1,0,0.00127,0,35,0,0,0,0,0,0,0,0,0,1.79238,0,0.015,114,-1.60719,1,0.00978,-0.00008,0.9999,20909000,0.01431,0,-0.79798,0.36234,0,-0.08674,5,-0.02967,0.25568,-2,0.04625,0,1357.17834,6.3,0.18491,0,65,0,0.03994,7193,0.01999,1.0014,21.281,0.11485,15,0,0,2.41172,0.2,0.25,0.47277,0,0.05014,3500,0.00082,0.00001,0,0.473,0.11621,0,4.66579,0.7,100,0.00001,1.06628,0,2.50279,0.00001,6,0.00008,0,2.62951,0,0,9.88154,-0.8375,1,0,1,0,-0.02489,0,6,0.0124,0.056285714,0.00464,0,1,36.93,1,23.0889,34.7627,22.4,0,0.00001,100,1.3,3.75523,0.0059,35,0.8035,0,25,0.01526,25,0,0.00729,0,0,-1.49465,0,9.18125,0.35,0.15444,0.025,0.2148,0.00515,0.02,14.12338,-0.02957,10,114,0,0,215.78999,5,0.00251,0,0.03646,-0.00613,16.36115,14.58423,0,1,0.00093,0.00127,0,1.35,0,-0.03376,0.00566,3.72992,-0.04386,0.00533,0,-1.43651,5,1.27583,0.78479,0.02996,0.78479,65,0,0,0.3,-173.69371,0.005,0.07729,215.72159,-0.14543,3684.02148,36.79536,-0.8375,-1,0,0,0,0.11135,0,0.02749,0.02749,0,0.3,0,0,0.16661,0.4191,0.08684,1.6,0.02707,0,0,-4.50704,75,0.28906,0.56094,0,2,290,55,65,0,0.16517,25
0.7,0,0.35,10,-3.03702,31.8,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,-0.36085,0.65,0.05961,0.0055,60,350,0,0,0,0,0,51.58,-1,0.41652,25.68,-0.31414,1.06628,15,1.44363,5.41695,0.05423,0,1,0.0124,0.7054,3285.37891,0.3,0.06321,3693,0.00286,0.03,55,940379.875,0.08132,0.00215,48041.87891,0,110,5.87847,1.44,5,50,45,1,0,0.00037,0,35,0,0,0,0,0,0,0,0,0,1.79704,0,0.015,115,-1.81385,1,0.00632,0,0.91316,12701000,0.01432,0,-0.43692,0.41913,0,-0.91316,6,-0.00218,0.25568,-2,0.04625,0,1356.42188,12.4,0.19781,0,65,0,0.03994,7193,0.0225,1.03786,23.618,0.08132,15,0,0,2.41172,1,0.25,0.47277,0,0.03634,3500,0.00077,0.00001,0,0.473,0.11621,0,5.05018,0.7,100,0.00001,1.06628,0,1.79581,0.00001,6,0,0,2.81443,0,0,7.54442,-0.66874,1,0,1,0,-0.05057,0.02489,6.055,0.0124,0.062857143,0.00245,0,1,36.93,1,23.0889,34.7627,23.2,0,0.00001,100,7.4,3.21038,0.00464,35,0.83944,0,25,0.01526,25,0,0.00729,0,0,-3.03701,0,9.2715625,0.35,0.09658,0.025,0.2148,0.00387,0.02,14.1854,-0.03372,10,115,0,0,215.78999,5,0.00128,0,0.00361,0.00381,18.71511,14.64807,0.70698,1,-0.00123,0.00003,0,1.35,0,-0.01743,0.00515,3.17367,-0.02611,0.00528,0,-1.43651,5,0.47404,0.78264,0.02996,0.78264,65,0,0,0.3,205.80621,0.005,0.10054,215.69202,-0.11661,3679.73267,36.74618,-0.66874,-1,0,0,0,0,0,0.02707,0.02707,0,0.3,0,0,0.17112,0.31891,1,2.2,0.02568,0,0,-1.61811,75,0.28906,0.56094,0,2,290,55,65,0,0.16517,25
0.7,0,0.35,10,-3.03702,31.8,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,-0.79777,0.65,0.05962,0.0055,60,350,0,0,0,0,0,51.58,-1,-39251.12891,25.68,3.57861,1.06628,15,1.44363,5.42369,0.05675,0,18,0.0124,0.7054,3285.79785,0.3,0.01265,3693,-0.00035,0.03,55,  nan,-0.0099,0.08061,48041.87891,0,110,3.31043,1.44,5,50,45,1,0.02489,0.00162,0,35,0,0,0,0,0,0,0,0,0,1.88327,0,0.015,116,-1.10721,1,0.009,0,0,4320000,  nan,0,0,0.45338,0,0,7,0.02489,0.25568,-2,0.04625,0,1355.66858,12.9,0.15658,0,65,0,0.03994,7193,0.02378,1.04147,18.154,-0.0099,15,0,0,2.41172,18,0.25,0.47277,124431.7344,0.03307,3500,0.00068,0.00001,0,0.473,0.11621,-0.00649,5.05767,0.7,100,  nan,1.06628,0,0.3593,  nan,6,0,0,3.01224,0,0,6.22291,0.00001,1,0,1,0,-0.05057,0.05057,6.04086,0.03728,0.069428571,0.00299,0,1,36.93,1,23.0889,34.7627,15.3,0,0.00001,100,7.9,0.00001,0.00245,35,0.84491,0.02489,25,0.01526,25,0,0.00729,0,0,-3.03777,0,9.361875,0.35,-0.01028,0.025,0.2148,0.00601,0.02,14.2471,-0.03687,10,116,0,0,215.78999,5,-0.00135,0,-0.05558,0.13436,  nan,14.71166,1.43652,1,-0.00002,0.00001,0,1.35,-0.00819,0,0.00387,0.00001,0,0.00524,0,-0.72953,5,-4.622,0.75137,0.02996,0.75137,65,0,0,0.3,  nan,0.005,0.12083,215.65829,-0.11078,3674.75903,36.69263,0.00001,-1,0.02489,0.15947,124431.7266,12924.24805,0,0.02568,0.02568,0,0.3,0,0,0.17558,0.33923,1,2.3,0,0,0,12.39235,75,0.28906,0.56094,0,2,290,55,65,124431.7188,0.16517,25
0.7,  nan,0.35,10,-1.54234,31.63,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,-0.79777,0.65,0.05963,0.0055,60,350,0.08404,0,0,0,0,51.58,-1,-40366616576,25.68,7.2714,1.06628,15,1.44363,5.67536,0.06178,0,3.1,0.0124,0.7054,3286.25146,0.3,-0.03792,3693,  nan,0.03,55,  nan,  nan,0.1695,48041.87891,0,110,3.31044,1.44,5,50,45,1,0.05057,0.00285,0,35,0,0,0,0,0,0,0,0,0,2.05322,0,0.015,117,0.32931,1,0.01199,0,0,13219000,  nan,0,0,0.45365,0,0,8,0.05057,0.25965,-2,0.04625,0,1354.91858,15,0.27636,0,65,0,0.03994,7193,0.02243,0.98589,18.692,  nan,15,0,0,2.41172,3.1,0.25,0.47277,-0.34874,0.05632,3500,0.00072,0.00001,124431.7188,0.473,0.11621,-0.03223,5.29135,0.7,100,  nan,1.06628,  nan,-1.07721,  nan,6,0,0,3.16881,0,0,6.22291,0.64807,1,0,1,0,-0.02568,0.05057,6.04715,0.08785,0.076,0.00399,0.00001,1,36.93,1,23.0889,34.7627,15.2,0,  nan,100,10,0.00001,0.00299,35,0.85437,0.07545,25,0.01526,25,0,0.00729,0,0,-1.5431,0,9.4521875,0.35,-0.11072,0.025,0.2148,0.008,0.02,14.30849,-0.03759,10,117,0,0,215.78999,5,  nan,0,  nan, -inf,  nan,14.77496,1.43651,1,0.00119,0.00121,0,1.35,-0.04892,0,0.00601,0.00001,0,0.0052,0,0.70699,5,  nan,  inf,0.02996,  inf,65,0,  nan,0.3,  nan,0.005,0.14239,215.62141,-0.11649,3669.33813,36.63832,0.64807,-1,0.07545,0.0894,0,  nan,0,0,0,0,0.3,0,0,0.17999,0.81217,1,5.2,-0.02489,0,0,0,75,0.28906,0.56094,0,2,290,55,65,0,0.16517,25
0.7,  nan,0.35,10,1.49469,31.71,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,-0.79777,0.65,0.05964,0.0055,60,350,0.08404,  nan,  nan,  nan,0,51.58,-1,  nan,25.68,7.27137,1.06628,15,1.44363,  nan,  nan,0,1.7,0.0124,0.7054,3286.70508,0.3,-0.0636,3693,  nan,0.03,55,  nan,  nan,  nan,48041.87891,0,110,5.79907,1.44,5,50,45,1,0.05057,0.00695,0,35,0,0,0,0,0,0,0,0,0,  nan,0,0.015,118,1.76583,1,  nan,  nan,0,13133000,  nan,0,0,0.47398,0,0,9,0.05057,0.26188,-2,0.04625,0,1354.17224,14.9,0.19827,0,65,0,0.03994,7193,  nan,  nan,23.633,  nan,15,0,0,2.41172,1.7,0.25,0.47277,  nan,  nan,3500,  nan,0.00001,0,0.473,0.11621,0.18102,  nan,0.7,100,  nan,1.06628,  nan,-1.80675,  nan,6,0,0,3.44517,0,0,6.22291,  nan,1,0,1,  nan,0,0.02568,6.05582,0.13842,0.082571429,  nan,0.70468,1,36.93,1,23.0889,34.7627,22.2,0,  nan,100,9.9,0.00001,0.00399,35,0.7273,0.12602,25,0.01526,25,  nan,0.00729,0,0.00695,1.49394,0,9.5425,0.35,  nan,0.025,0.2148,  nan,0.02,14.36952,-0.04039,10,118,0,0,215.78999,5,  nan,0,  nan, -inf,  nan,14.83797,  nan,  nan,0.00409,-0.00165,0,1.35,0.08431,0,0.008,0.00001,0,0.00514,0,2.1435,5,  nan,  inf,0.02996,  inf,65,0,  nan,0.3,  nan,0.005,0.16681,215.58382,-0.10676,  nan,  nan,  nan,-1,0.12602,0.05029,  nan,  nan,0,-0.02489,-0.02489,  nan,0.3,0,0,0.18435,0,1,3.9,  nan,0,0,0,75,0.28906,0.56094,0,2,290,55,65,  nan,0.16517,25
0.7,  nan,0.35,10,4.53172,31.89,0.02,10,3284.20996,10,0.01665,0.25,0.04,0,15,-0.79777,0.65,0.05965,0.0055,60,350,0.06414,  nan,  nan,  nan,0,51.58,-1,  nan,25.68,3.69273,1.06628,15,1.44363,  nan,  nan,0,3.2,0.0124,0.7054,3287.17896,0.3,-0.0636,3693,  nan,0.03,55,  nan,  nan,  nan,48041.87891,0,110,8.36709,1.44,5,50,45,1,0.02568,  nan,0,35,0,0,0,0,0,0,0,0,0,  nan,0,0.015,119,  nan,1,  nan,  nan,0,19613000,  nan,0,  nan,  nan,0,  nan,10,0.02568,0.26313,-2,0.04625,0,1353.42969,12.5,  nan,  nan,65,0,0.03994,7193,  nan,  nan,19.742,  nan,15,0,0,2.41172,3.2,0.25,0.47277,  nan,  nan,3500,  nan,0.00001,  nan,0.473,0.11621,0.04064,  nan,0.7,100,  nan,1.06628,  nan,-1.80675,  nan,6,  nan,0,3.64344,0,0,6.22291,  nan,1,0,1,  nan,0.07545,0,6.06194,0.1641,0.089142857,  nan,0,1,36.93,0.50565,23.0889,34.7627,17.7,0,  nan,100,7.5,0.00001,  nan,35,0.6935,0.1517,25,0.01526,25,  nan,0.00729,0,  nan,4.53097,  nan,9.6328125,0.35,  nan,0.025,0.2148,  nan,0.02,14.4302,  nan,10,119,0,  nan,215.78999,5,  nan,0,  nan,  nan,  nan,14.90066,  nan,  nan,  nan,  nan,0,1.35,0.03348,0.93142,  nan,0.00001,2.3764,0.0051,0,  nan,5,  nan,  nan,0.02996,  nan,65,0,  nan,0.3,  nan,0.005,0.1881,215.54343,  nan,  nan,  nan,  nan,-1,0.1517,0.0922,  nan,  nan,  nan,  nan,  nan,  nan,0.3,  nan,0,0.18865,0,  nan,4,  nan,0,0,199.86656,75,0.28906,0.56094,0,2,290,55,65,  nan,0.16517,25
